date,co,so2,pm10
1399/01/01,0.54073146,1.34356706,21.14511853
1399/01/02,0.50199489,2.48158037,26.17467978
1399/01/03,0.57623622,2.24366842,23.99350387
1399/01/04,0.30716417,1.55533593,12.44550505
1399/01/05,0.69270209,2.10103484,16.30063067
1399/01/06,0.87839296,2.63548696,25.7451553
1399/01/07,0.42757403,2.28121023,27.35190805
1399/01/08,0.69949218,2.52081787,29.3130640447
1399/01/09,0.71326074,2.79403938,31.73179442
1399/01/10,0.72178117,2.12419377,23.06626049
1399/01/11,0.84392589,1.86873715,18.08826307
1399/01/12,0.37168134,1.49456485,10.85391323
1399/01/13,0.50153403,1.90362584,15.96801219
1399/01/14,0.91667674,2.02876666,40.21233579
1399/01/15,0.86472348,1.55904105,50.75530314
1399/01/16,0.36122253,2.03914572,34.279628
1399/01/17,0.32073229,1.95225222,23.58103938
1399/01/18,0.63173643,4.04206588,38.72716856
1399/01/19,1.1212327,2.60397101,38.18822995
1399/01/20,0.59292482,1.88354613,22.85508772
1399/01/21,0.46021433,1.71411451,20.32029659
1399/01/22,0.9496641,2.46354533,12.49118207
1399/01/23,1.23534169,2.75592,30.82705423
1399/01/24,0.78203614,2.21195514,31.65474866
1399/01/25,0.42919541,2.61460402,29.10921045
1399/01/26,0.39708467,2.71246557,30.8905292
1399/01/27,0.57780646,2.89938822,43.48602113
1399/01/28,0.78650156,2.71409536,39.40944833
1399/01/29,0.44237038,1.91966411,37.24330685
1399/01/30,0.96488273,2.19893608,25.16293677
1399/01/31,0.71056963,2.79926104,41.40041008
1399/02/01,0.91421616,2.94722019,63.06488919
1399/02/02,0.72152673,2.58866371,45.7788347
1399/02/03,0.68719938,3.09008354,59.65524093
1399/02/04,0.94560333,3.64069442,54.45445049
1399/02/05,1.10140069,3.21599634,48.79311417
1399/02/06,1.16408264,4.19012103,96.57152234
1399/02/07,1.06919176,2.14951442,47.92403451
1399/02/08,0.45293206,1.76795151,49.81530751
1399/02/09,0.49793382,2.31414531,32.07246384
1399/02/10,0.56706105,2.54228059,42.8211237
1399/02/11,0.975031,2.15113762,33.35745743
1399/02/12,0.75186363,1.82178445,32.88020389
1399/02/13,0.75223253,1.42480703,41.48587432
1399/02/14,0.55961499,2.57088844,50.28027948
1399/02/15,0.41067443,2.38626626,33.22865113
1399/02/16,0.91457003,3.55583744,71.32801341
1399/02/17,0.93289616,3.85474739,110.58836235
1399/02/18,0.50435958,1.26537938,47.14788792
1399/02/19,0.44929334,2.01387699,37.67891116
1399/02/20,0.92948527,3.8491199,38.13660134
1399/02/21,0.64602391,3.16026409,66.55217099
1399/02/22,0.37571141,2.34829715,57.72316959
1399/02/23,0.70211804,2.1485359,16.15549511
1399/02/24,0.54088127,3.45315378,11.0410016
1399/02/25,0.71873472,2.69190369,36.173336307199996
1399/02/26,0.71008829,3.02502051,39.67844838256
1399/02/27,0.73196702,4.0558164,51.328512006668
1399/02/28,1.07760985,3.8408461,62.688138352800394
1399/02/29,1.40592209,2.8195792600000003,75.6280419232401
1399/02/30,1.11865781,4.6349869,87.03530182907203
1399/02/31,0.93935812,2.25987465,45.6318139564216
1399/03/01,1.24353877,3.51430626,61.16342311352648
1399/03/02,1.00152568,3.3748039,76.89291922065794
1399/03/03,0.57501355,2.70103312,64.87008967839736
1399/03/04,0.48104777,4.27701753,68.96907569263031
1399/03/05,0.48184254,4.17935345,53.75533654003909
1399/03/06,0.67950629,3.86616513,66.93615548001172
1399/03/07,0.93155519,5.25506626,66.38346858300352
1399/03/08,0.64307239,4.20424406,55.98549762952606
1399/03/09,0.74086892,3.22200305,46.54980772635781
1399/03/10,1.01733538,4.20908652,50.40888297690734
1399/03/11,1.0344357,4.53659757,54.046223803322206
1399/03/12,1.00056179,5.54874341,48.03481145874666
1399/03/13,1.18291194,5.2222221,62.91211322674899
1399/03/14,0.7329306,2.94858656,70.5345805132747
1399/03/15,0.31132953,2.14431712,54.27933084531574
1399/03/16,0.46298857,3.10585079,49.688801046150274
1399/03/17,0.68784564,3.46275118,54.15118847017841
1399/03/18,0.6689327,3.09190314,62.43132159627574
1399/03/19,0.95425785,5.63032976,77.87655971050772
1399/03/20,0.9692569,6.90941336,66.50397341515232
1399/03/21,1.13992028,5.78767116,55.3944762461707
1399/03/22,0.90106099,4.98076761,49.362599082851204
1399/03/23,1.03281782,2.85295697,48.03691807998036
1399/03/24,1.13538529,4.81591151,53.7422940928691
1399/03/25,1.24350766,4.09126296,55.66681713886072
1399/03/26,1.09229633,4.78086256,63.097248187033216
1399/03/27,1.19226918,6.01329617,65.60395253610996
1399/03/28,1.12123572,5.12267099,61.49317936270798
1399/03/29,1.6341478,5.18320236,66.1588319083124
1399/03/30,0.99565585,3.67346008,61.45315522849371
1399/03/31,1.09698006,3.7216903,64.83353818042312
1399/04/01,0.56267747,2.99736746,67.57016710468248
1399/04/02,1.0450919,3.22787905,62.27975673140473
1399/04/03,1.48966335,4.09159339,61.00178172286586
1399/04/04,2.60152225,7.11224787,70.38772793910977
1399/04/05,1.48519693,3.17443799,63.224130923982926
1399/04/06,1.18140658,2.64747383,81.50568559981987
1399/04/07,1.14120384,2.74768622,89.23752510782096
1399/04/08,4.85532304,6.06379401,85.35044380984628
1399/04/09,2.96016515,2.09296428,89.02496837082889
1399/04/10,1.23883662,2.59513457,80.32613530599866
1399/04/11,1.37966989,5.6946001,78.4410123531746
1399/04/12,0.73599638,2.8958086400000003,86.57461546845238
1399/04/13,1.0583442,3.05697658,114.5740726230357
1399/04/14,1.55811133,4.49712176,99.8069501074107
1399/04/15,0.95461226,6.15927615,97.0503545157232
1399/04/16,0.88736764,3.50576093,71.04524013482805
1399/04/17,1.2277621,4.11504453,68.76182276522619
1399/04/18,1.08948177,3.87686435,58.230471002317856
1399/04/19,0.96602419,3.36765796,66.44043990419536
1399/04/20,3.7180488,3.52858574,63.262311138883604
1399/04/21,1.4962889,4.10869965,61.776275204442854
1399/04/22,1.38036324,3.25649477,60.52086397958285
1399/04/23,1.14303878,2.9119584,61.74324303024985
1399/04/24,0.9188287,3.51768429,59.111300776963844
1399/04/25,1.29186891,4.14339529,54.323491851866926
1399/04/26,1.19632758,3.46636341,54.14044125011563
1399/04/27,1.13325643,4.54132648,47.82802107925691
