date,time,co,so2,pm10
1400/01/01,0,1.12335665,2.71512566,12.69211626
1400/01/01,1,,,
1400/01/01,2,1.26474538,2.63489791,14.94344807
1400/01/01,3,0.77191204,2.52001178,13.9968888
1400/01/01,4,1.85147266,2.69581487,12.062584
1400/01/01,5,1.9761722499999999,2.68663293,7.98011144
1400/01/01,6,1.25677365,2.58558166,
1400/01/01,7,1.22644363,2.50016117,6.76594388
1400/01/01,8,1.06223418,2.5369663,6.4723316
1400/01/01,9,0.71143849,2.47842874,10.29960815
1400/01/01,10,0.23140573,2.62905467,13.46583136
1400/01/01,11,0.14778908,2.73819212,10.56650058
1400/01/01,12,0.16620154,2.82942806,7.87327671
1400/01/01,13,0.34306297,2.71535621,10.595941700000001
1400/01/01,14,0.21700801,2.34861132,13.51048374
1400/01/01,15,0.156874,2.3632218,13.33950075
1400/01/01,16,0.39932524,2.41890103,11.16999936
1400/01/01,17,0.53537184,2.5112809499999997,8.89983304
1400/01/01,18,0.64245558,2.60944317,10.98683437
1400/01/01,19,0.98957317,2.70758764,11.39608463
1400/01/01,20,1.3968872399999999,2.81834006,9.49688673
1400/01/01,21,1.67414636,3.08772274,17.61827755
1400/01/01,22,1.70245672,3.19038421,21.12122321
1400/01/01,23,1.44406389,3.15712267,16.37108119
1400/01/02,0,2.02458998,3.40113429,15.68722041
1400/01/02,1,1.9094787100000001,3.41932823,13.08166496
1400/01/02,2,,,
1400/01/02,3,1.87973978,3.52028944,17.32538899
1400/01/02,4,1.27466692,3.80964502,18.87355685
1400/01/02,5,0.6799686,3.63262574,17.90138976
1400/01/02,6,1.13759341,3.37374769,26.48294481
1400/01/02,7,0.77178627,2.99908018,27.04711103
1400/01/02,8,0.55639685,2.78635593,23.18314409
1400/01/02,9,0.59781924,2.79851089,28.43644873
1400/01/02,10,0.65071336,2.76809333,24.39000686
1400/01/02,11,0.1737584,2.69319948,14.86500239
1400/01/02,12,0.25859829,2.82413489,15.90299638
1400/01/02,13,0.30205209,3.04424419,20.36744181
1400/01/02,14,0.38153637,3.09554253,26.28160826
1400/01/02,15,0.29100367,3.09744644,24.40049616
1400/01/02,16,0.41960112,3.07401959,24.80349986
1400/01/02,17,0.29260265,3.07975992,29.81183799
1400/01/02,18,0.82488191,2.98003866,31.94383748
1400/01/02,19,0.95738817,2.93598868,37.74688148
1400/01/02,20,1.07774905,2.92500792,34.07982413
1400/01/02,21,1.6433634499999998,2.87643747,28.59533374
1400/01/02,22,1.767408,3.11340892,45.01562945
1400/01/02,23,1.8552646099999999,3.15464528,55.16765722
1400/01/03,0,1.95232242,2.89571786,51.14105034
1400/01/03,1,2.05132845,3.08367978,49.08755016
1400/01/03,2,1.28840781,2.77422756,44.72022947
1400/01/03,3,0.87873329,2.68452404,41.50072638
1400/01/03,4,0.25525395,2.66193285,43.87359174
1400/01/03,5,0.21273514,2.6854949599999998,41.53023243
1400/01/03,6,0.24839622,2.55904359,41.77277311
1400/01/03,7,0.11557819,2.62506702,43.4224933
1400/01/03,8,0.17085379,2.6092861899999997,28.98127921
1400/01/03,9,0.34308271,2.65330772,20.21456099
1400/01/03,10,0.26542147,2.63981769,25.9207325
1400/01/03,11,0.24639866,2.56694631,33.41567421
1400/01/03,12,0.38825615,2.5801610200000002,38.84685548
1400/01/03,13,0.21705958,2.51074785,37.46771224
1400/01/03,14,0.36489155,2.46987708,41.91318289
1400/01/03,15,0.28006714,2.43518333,47.46332359
1400/01/03,16,0.37249852,2.42007659,38.9155496
1400/01/03,17,0.30357238,2.26006707,39.1704998
1400/01/03,18,0.84784775,2.27223933,45.20881557
1400/01/03,19,1.00493981,2.30307249,44.52519925
1400/01/03,20,0.97569754,2.32401154,55.53805733
1400/01/03,21,1.23910495,2.3990048,70.78268751
1400/01/03,22,1.18605794,2.42925455,72.11488724
1400/01/03,23,0.89107194,2.37434091,76.99789683
1400/01/04,0,0.7792455,2.65896682,77.44983482
1400/01/04,1,0.43476941,2.59601095,74.77253952
1400/01/04,2,0.78005673,2.7566671400000002,69.42590268
1400/01/04,3,0.93344104,2.73637468,64.30989838
1400/01/04,4,1.80222222,2.7980302,58.18934504
1400/01/04,5,2.1619912,2.84661267,58.25295226
1400/01/04,6,1.8160360500000001,2.8113825500000003,62.39754454
1400/01/04,7,1.68971702,2.78334937,59.11819998
1400/01/04,8,1.97949456,2.83453727,59.04782136
1400/01/04,9,1.2495265,2.66670052,62.65830421
1400/01/04,10,1.66977201,2.80341232,58.79766528
1400/01/04,11,1.42342818,2.79010914,50.67571608
1400/01/04,12,1.4175699800000001,2.79439559,56.49333604
1400/01/04,13,1.13390928,2.89840484,60.34729703
1400/01/04,14,1.04916309,2.98666849,55.1337951
1400/01/04,15,0.87742243,3.19473519,60.89055697
1400/01/04,16,0.52919351,3.287697,66.17750359
1400/01/04,17,0.67726086,3.38771464,62.11200301
1400/01/04,18,0.87337831,4.04602108,70.56105677
1400/01/04,19,0.53387439,3.94182539,83.04337438
1400/01/04,20,1.35834039,4.17792251,81.16175016
1400/01/04,21,1.31657684,3.74048016,76.64104843
1400/01/04,22,0.90878122,3.01800446,78.03935369
1400/01/04,23,2.06309241,3.32875844,66.24861113
1400/01/05,0,1.95115834,3.20923547,57.74467246
1400/01/05,1,1.96582306,3.27662377,66.99723307
1400/01/05,2,1.62191288,3.42526223,78.05523554
1400/01/05,3,0.53729504,3.26014775,87.52893957
1400/01/05,4,0.47809881,3.18784068,94.13656807
1400/01/05,5,0.10101263,3.1149414,105.6675396
1400/01/05,6,,3.09353991,118.217062
1400/01/05,7,,3.09105088,118.82948748
1400/01/05,8,,3.10049295,118.9395326
1400/01/05,9,0.12164251,2.98382721,123.10235087
1400/01/05,10,,2.80695126,126.09236781
1400/01/05,11,0.13318204,2.8006971099999998,122.96152878
1400/01/05,12,0.13616336,2.79461461,115.40616926
1400/01/05,13,0.25873293,2.64110235,102.46635056
1400/01/05,14,0.55191251,2.77936896,86.05989138
1400/01/05,15,0.59708053,2.87486237,77.90989812
1400/01/05,16,0.42462386,2.91035002,83.72250239
1400/01/05,17,0.425461,3.18960057,85.89079603
1400/01/05,18,0.74985118,2.77080174,93.33232816
1400/01/05,19,0.62496241,2.6182005200000003,109.39369965
1400/01/05,20,0.58295707,2.57521188,107.94956589
1400/01/05,21,0.49525343,2.61612131,111.98719406
1400/01/05,22,0.45194492,2.55501465,121.33248075
1400/01/05,23,0.3452312,2.63024902,123.73035558
1400/01/06,0,,2.20742338,124.16996536
1400/01/06,1,,2.28079037,123.51750755
1400/01/06,2,,2.25197685,121.95050939
1400/01/06,3,,2.27839275,120.0549736
1400/01/06,4,,2.1455315600000002,121.57820447
1400/01/06,5,,2.05346793,115.10456149
1400/01/06,6,,1.9951238999999998,105.83389791
1400/01/06,7,,1.9722871400000002,101.5004336
1400/01/06,8,,2.05252735,90.51099841
1400/01/06,9,,1.97632432,90.97605451
1400/01/06,10,,2.06284182,86.36613846
1400/01/06,11,,2.03671236,68.97539202
1400/01/06,12,0.78844621,2.09494047,64.98184999
1400/01/06,13,0.72440702,2.16674948,63.13678042
1400/01/06,14,0.66336939,2.08340373,53.46559556
1400/01/06,15,0.5953493,2.23073854,50.50044759
1400/01/06,16,0.61072546,2.13729507,51.22133223
1400/01/06,17,0.46144046,2.14129672,44.42762152
1400/01/06,18,0.70781476,2.23385034,39.89889399
1400/01/06,19,0.97219493,2.28354065,49.24161466
1400/01/06,20,1.10443549,2.41381407,70.73284721
1400/01/06,21,1.25999679,2.52072225,71.32427692
1400/01/06,22,1.1219766899999999,2.35212147,56.56455644
1400/01/06,23,1.11424899,2.35325183,53.13129266
1400/01/07,0,1.71917373,2.50619906,56.50011126
1400/01/07,1,1.6968874999999999,2.62943548,57.98658021
1400/01/07,2,1.9414235899999999,2.65389403,74.04172198
1400/01/07,3,1.68431821,2.70233371,84.68853251
1400/01/07,4,1.17912982,2.57775708,80.68357213
1400/01/07,5,0.81232537,2.55003719,89.49219259
1400/01/07,6,0.47667342,2.69247035,104.76297633
1400/01/07,7,0.48073035,2.63937342,121.11601639
1400/01/07,8,0.45915803,2.5269566,139.31785838
1400/01/07,9,0.62887627,2.62356126,146.31858317
1400/01/07,10,0.46335033,2.44379576,152.65143458
1400/01/07,11,0.46511698,2.16070678,151.19317373
1400/01/07,12,0.54674075,2.25474918,135.74547323
1400/01/07,13,0.66608485,2.39357336,127.83594831
1400/01/07,14,0.71297024,2.49587544,125.24693362
1400/01/07,15,0.66951247,2.6508754100000003,121.49747849
1400/01/07,16,0.44371003,2.6428958,127.14085515
1400/01/07,17,0.63513587,2.77179398,127.42811267
1400/01/07,18,0.72975708,2.87892363,116.25874519
1400/01/07,19,0.88229495,3.05840884,127.62756602
1400/01/07,20,0.89058741,2.87317524,125.89293925
1400/01/07,21,0.82059293,2.6271503000000003,125.22972488
1400/01/07,22,0.59734553,2.72475199,126.86206627
1400/01/07,23,0.5337692,2.64786792,95.57684008
1400/01/08,0,0.36505754,2.62256473,62.49193255
1400/01/08,1,0.23007444,2.7078191,47.57545376
1400/01/08,2,0.16666905,2.59997513,39.46492052
1400/01/08,3,,2.43092928,23.816943170000002
1400/01/08,4,,2.35718014,18.74100002
1400/01/08,5,,2.35429611,18.47060728
1400/01/08,6,,2.40811773,15.59533246
1400/01/08,7,,2.38076166,14.69464191
1400/01/08,8,,2.42609386,12.3236115
1400/01/08,9,,2.51773653,8.83074764
1400/01/08,10,0.86787309,2.42276742,8.324000120000001
1400/01/08,11,1.14037571,2.4392667599999998,14.48544772
1400/01/08,12,,,17.05033414
1400/01/08,13,0.90885172,2.44792647,17.1583341
1400/01/08,14,1.09690983,2.45861975,27.34203482
1400/01/08,15,1.41783978,2.45005325,32.7693909
1400/01/08,16,1.17468016,2.49599508,34.74516392
1400/01/08,17,0.9917325,2.55573539,32.08720589
1400/01/08,18,0.96587953,2.61100463,19.32394528
1400/01/08,19,1.24096983,2.6398439,15.55355422
1400/01/08,20,1.31852178,2.62232463,19.30963977
1400/01/08,21,1.8595015099999999,2.75916717,20.34958331
1400/01/08,22,1.75511136,2.77615738,22.91644017
1400/01/08,23,1.17888502,2.66973446,24.54086177
1400/01/09,0,1.98948393,2.80872321,28.57316303
1400/01/09,1,1.78978566,2.83101958,33.04048189
1400/01/09,2,1.08513765,2.6230260899999998,28.91848214
1400/01/09,3,0.74175059,2.64103003,30.06815004
1400/01/09,4,0.53903724,2.85879956,32.85636934
1400/01/09,5,0.73427193,3.04672223,24.92205795
1400/01/09,6,0.51610987,3.0558077,15.73111835
1400/01/09,7,0.51775039,2.91928067,27.26500241
1400/01/09,8,0.35974919,2.8317609,38.42847315
1400/01/09,9,0.64709564,2.95761188,27.44274378
1400/01/09,10,0.47310033,2.85014069,17.40515939
1400/01/09,11,0.66035327,3.03358791,27.97027508
1400/01/09,12,0.51679111,2.8734005700000003,32.68215942
1400/01/09,13,0.38826793,2.99770615,30.29111258
1400/01/09,14,0.34941811,5.51985721,31.47333797
1400/01/09,15,0.36142439,5.11100467,35.66544851
1400/01/09,16,0.27054361,4.17660006,42.26122252
1400/01/09,17,0.30183552,3.55734175,33.69152546
1400/01/09,18,0.52463611,3.07031512,28.2882549
1400/01/09,19,0.80945412,3.19397648,32.50742372
1400/01/09,20,0.97014596,3.08884857,41.99908543
1400/01/09,21,1.34038982,3.15341709,41.06155205
1400/01/09,22,1.19043543,4.62703776,41.08285554
1400/01/09,23,1.62037924,6.13502594,49.29174836
1400/01/10,0,0.72350087,3.65281515,47.37995949
1400/01/10,1,0.71915332,3.02648894,41.1553278
1400/01/10,2,0.7134565,3.55392442,38.30531152
1400/01/10,3,0.69045415,3.15785821,36.21648343
1400/01/10,4,0.80313742,3.43814152,43.6865654
1400/01/10,5,0.74150382,3.34842757,59.28201834
1400/01/10,6,0.56843956,2.87550008,48.87637266
1400/01/10,7,0.41995945,2.70939877,41.6058321
1400/01/10,8,0.76454493,2.5797922,50.03444449
1400/01/10,9,0.28658857,2.33511734,44.04944706
1400/01/10,10,0.21129168,2.31557109,33.56528664
1400/01/10,11,0.3544849,2.29050271,38.25917753
1400/01/10,12,0.3791111,2.6941997,35.73042742
1400/01/10,13,0.4207021,2.8194987400000002,22.50286468
1400/01/10,14,0.35325471,2.69793387,29.36360836
1400/01/10,15,0.32478314,2.73874748,34.22983265
1400/01/10,16,0.35312285,2.65504766,26.26930475
1400/01/10,17,0.34325417,2.58816971,25.37552897
1400/01/10,18,0.67558771,2.52500347,23.80336491
1400/01/10,19,0.78027495,2.56432976,38.280564150000004
1400/01/10,20,0.77876113,2.48414471,45.91292381
1400/01/10,21,0.89466269,2.56479138,34.45047379
1400/01/10,22,1.04603235,2.58721612,40.78407828
1400/01/10,23,0.89749295,2.61295666,39.75212415
1400/01/11,0,0.65926226,2.56466618,33.29838753
1400/01/11,1,0.53290582,2.65978998,37.82645798
1400/01/11,2,0.59813273,2.67205852,43.65614192
1400/01/11,3,0.57292319,2.61108484,42.61985397
1400/01/11,4,0.49953263,2.6091896500000002,31.03458134
1400/01/11,5,0.48487208,2.55533755,30.40965303
1400/01/11,6,1.06997113,2.58626668,32.64941788
1400/01/11,7,0.93974,2.53149138,27.0099953
1400/01/11,8,0.8660489,2.55419272,20.67855612
