date,time,co,so2,pm10
1400/01/01,0,2.01620447,5.03425924,41.73666732
1400/01/01,1,,,
1400/01/01,2,,,
1400/01/01,3,1.68832151,4.74642073,46.26821345
1400/01/01,4,1.34712656,4.29209324,47.83045801
1400/01/01,5,0.98928719,4.45013322,44.79438082
1400/01/01,6,,3.78124523,45.87233671
1400/01/01,7,,3.48516438,46.72363726
1400/01/01,8,,3.48091441,45.20240116
1400/01/01,9,,3.46702125,44.26199913
1400/01/01,10,0.25060785,4.08975228,43.7366209
1400/01/01,11,0.18133514,3.78904535,46.25141589
1400/01/01,12,0.14665789,4.30485741,34.96374607
1400/01/01,13,0.22149416,4.10673169,31.09770028
1400/01/01,14,0.58658584,5.58321933,35.40860271
1400/01/01,15,0.82340303,4.97993851,36.40578429
1400/01/01,16,0.56983341,2.31945281,23.75853841
1400/01/01,17,0.5012216,2.53195014,15.256636780000001
1400/01/01,18,0.74471805,2.88850836,11.69172804
1400/01/01,19,0.77088334,2.90536898,12.74281422
1400/01/01,20,0.70477227,3.01675765,18.11924942
1400/01/01,21,1.37888656,3.47465068,17.52242374
1400/01/01,22,1.9624865,5.21725341,26.97662481
1400/01/01,23,2.08234684,5.64571102,39.53526847
1400/01/02,0,2.5500395300000003,6.0838093,46.2135814
1400/01/02,1,1.75815835,5.13445636,48.20479552
1400/01/02,2,1.42613617,4.42712593,51.37240569
1400/01/02,3,1.37683183,4.69670403,50.23233827
1400/01/02,4,1.44701075,3.93308018,46.26639334
1400/01/02,5,1.06972739,3.93389831,42.67237441
1400/01/02,6,0.72243078,3.3021519599999998,45.38634936
1400/01/02,7,0.52661996,3.6862898299999998,38.16274579
1400/01/02,8,0.75784402,4.23957664,37.48596891
1400/01/02,9,2.09488726,4.94278713,39.78070037
1400/01/02,10,1.36946898,6.40182996,48.39701017
1400/01/02,11,0.62760266,4.55285015,56.34369024
1400/01/02,12,0.2661888,2.93401875,45.78218524
1400/01/02,13,0.19061616,3.12858135,34.30750593
1400/01/02,14,0.31416079,3.11263454,37.44127687
1400/01/02,15,0.26101184,3.27947557,34.30115318
1400/01/02,16,0.23316971,3.1818099,38.5530103
1400/01/02,17,0.10026763,3.70312532,46.00797812
1400/01/02,18,0.32088878,3.68893319,51.55048498
1400/01/02,19,0.454911,3.50887225,49.36606725
1400/01/02,20,0.42095951,3.21326594,50.20714569
1400/01/02,21,0.79931043,3.7284960700000003,64.2773482
1400/01/02,22,1.14737068,4.53126665,65.93204689
1400/01/02,23,0.95015826,4.98059754,72.42729123
1400/01/03,0,0.83138786,4.91028937,77.01678658
1400/01/03,1,2.31695241,6.29426527,82.6271553
1400/01/03,2,1.57225813,5.17940998,98.96407509
1400/01/03,3,1.88165999,5.16236361,101.99029732
1400/01/03,4,1.01159731,4.12440764,87.43409793
1400/01/03,5,0.67783274,3.75868903,82.13864899
1400/01/03,6,1.14088074,4.25460178,78.17996661
1400/01/03,7,0.95908931,3.92918436,82.06412443
1400/01/03,8,0.78371649,3.69830602,87.97787984
1400/01/03,9,0.74497088,3.48864341,75.17045085
1400/01/03,10,0.93812565,3.69604204,66.79724503
1400/01/03,11,,3.73884664,63.17438952
1400/01/03,12,0.20471766,3.33721117,56.99139086
1400/01/03,13,0.56496501,3.100583,56.11115932
1400/01/03,14,0.49353263,3.1163023499999998,60.35638746
1400/01/03,15,,2.81436479,67.22369544
1400/01/03,16,0.40880399,2.7559558600000003,70.03669612
1400/01/03,17,0.28963352,2.37712592,75.30870628
1400/01/03,18,0.41023197,2.35628736,87.20046806
1400/01/03,19,0.47012671,2.58845011,94.24283282
1400/01/03,20,0.79887038,2.76010744,107.08133761
1400/01/03,21,1.01457555,3.24726045,114.58183416
1400/01/03,22,1.504667,3.44513462,126.90874481
1400/01/03,23,1.09926456,3.38789916,133.9985822
1400/01/04,0,0.8228008,2.55444759,127.54022471
1400/01/04,1,0.75745082,2.82652066,117.05942535
1400/01/04,2,1.02699832,3.88074142,105.75276248
1400/01/04,3,1.68613268,4.27435948,101.108675
1400/01/04,4,1.29738785,3.4327239,89.56983566
1400/01/04,5,1.46469039,3.92481814,89.21642176
