date,co,so2,pm10
1399/01/01,1.21323007,3.52223973,36.89187053
1399/01/02,0.78209291,2.05614941,32.85436693
1399/01/03,0.63478423,2.32434732,29.37178229
1399/01/04,0.81405315,3.4265944,17.63689106
1399/01/05,1.15619906,3.79356362,24.96719491
1399/01/06,1.05160627,2.5222567,44.20131621
1399/01/07,0.78597671,1.99336179,28.07471663
1399/01/08,0.91731631,2.72510046,32.512764250000004
1399/01/09,0.86524225,2.53089405,41.37300522
1399/01/10,0.87938267,2.3818002,27.19243025
1399/01/11,1.28221827,2.64661573,36.29149287
1399/01/12,0.67821085,2.08969302,14.47379168
1399/01/13,0.83422999,2.05784527,30.15975229
1399/01/14,0.84949235,1.96932773,55.81863392
1399/01/15,0.80922224,2.84331878,70.19241876
1399/01/16,1.04189413,3.57191249,47.95827746
1399/01/17,0.79501291,2.28944447,29.03380858
1399/01/18,1.29004688,5.28982668,57.29522921
1399/01/19,1.04814018,3.06698084,46.32293329
1399/01/20,0.90010856,2.82002325,25.90937031
1399/01/21,0.73589129,2.03891539,19.28240769
1399/01/22,0.9805095,2.53045243,23.05874838
1399/01/23,1.1864351,2.69588511,35.37071941
1399/01/24,0.98384544,3.01148277,38.90276339
1399/01/25,0.89474411,3.14132013,35.00363756
1399/01/26,1.00601977,4.37646237,49.24483203
1399/01/27,0.9765702,4.2622422,55.29173248
1399/01/28,0.91859853,3.47775444,55.1730462
1399/01/29,0.71611282,2.95544272,38.71793981
1399/01/30,0.83214351,3.48780371,28.26838495
1399/01/31,0.87879345,3.24275396,34.50409225
1399/02/01,0.82419935,4.91109261,43.19557562
1399/02/02,0.99020759,2.78088326,48.30989354
1399/02/03,1.0522988,3.68398343,54.48149343
1399/02/04,1.02012495,4.47246326,62.58904
1399/02/05,0.82398526,3.52720527,50.76995642
1399/02/06,0.9168128,3.8381352,95.81568482
1399/02/07,1.05251507,3.40068247,61.13523248
1399/02/08,1.11688032,3.2186902,59.96357759
1399/02/09,1.02493462,3.63656433,34.34470854
1399/02/10,0.82260078,4.18821868,33.57380809
1399/02/11,0.65939097,3.41965175,30.29269142
1399/02/12,1.02939986,3.03786096,31.92107679
1399/02/13,1.17105852,4.47257553,49.3432822
1399/02/14,0.79314518,2.73014172,41.39881861
1399/02/15,1.41424439,6.01081661,60.65641646
1399/02/16,1.24612839,5.37962705,81.92774647
1399/02/17,0.62857125,2.91011463,121.19471829
1399/02/18,0.54534183,2.03625881,61.26271558
1399/02/19,0.57776679,2.3720748,29.58580844
1399/02/20,0.93536904,3.70549463,47.82479897
1399/02/21,0.60244886,2.64215372,66.12681357
1399/02/22,1.0533961,3.90272727,134.48907106
1399/02/23,0.86960692,2.50351813,55.38827185
1399/02/24,1.08330246,5.04746065,47.90180552
1399/02/25,0.8350166,4.15602762,48.58913979
1399/02/26,0.80417886,5.27001806,48.27896878
1399/02/27,1.0709473,4.27582111,63.08174808
1399/02/28,1.24866019,4.86897458,73.61744955
1399/02/29,1.11336447,5.77791431,95.81679514
1399/02/30,1.12732181,4.53648038,104.3902798
1399/02/31,1.0293868,2.18902163,31.98269119
1399/03/01,1.36250446,4.96929926,82.76236918
1399/03/02,1.53230795,4.9305468900000005,98.43724757
1399/03/03,1.08134428,3.97155377,69.1241645
1399/03/04,0.8562748,4.460585,71.06976321
1399/03/05,0.827933,3.26960564,52.09229273
1399/03/06,0.86150996,2.7513335100000003,88.85548928
1399/03/07,0.89261791,3.16236856,79.19965331
1399/03/08,0.85754819,3.96150756,62.07010206
1399/03/09,1.02640844,3.4920314,49.87386537
1399/03/10,1.10493365,3.11306625,62.57401632
1399/03/11,1.22495278,4.36388915,65.50731783
1399/03/12,1.62946052,5.67804587,63.52356548
