date,co,so2,pm10
1399/01/01,1.18206846,2.27336876,33.90688519
1399/01/02,1.19339457,2.50466138,34.05888074
1399/01/03,0.80304043,2.80263165,35.81146788
1399/01/04,0.93803176,2.66998311,20.22587462
1399/01/05,1.58218904,2.99785179,28.55147838
1399/01/06,1.06843969,5.12787349,39.86349519
1399/01/07,0.97803843,2.49188709,24.58532786
1399/01/08,0.87652916,2.81186969,35.38595881
1399/01/09,1.24819886,2.56406108,35.57757445
1399/01/10,1.08497341,2.46332169,31.14681156
1399/01/11,1.09455526,2.6439897,25.24735841
1399/01/12,0.68543885,2.05226525,16.7129198
1399/01/13,0.98325875,2.30388699,30.51730241
1399/01/14,1.0829445,2.3812403,59.17594619
1399/01/15,1.09452456,2.61070231,64.70568704
1399/01/16,0.87828827,2.31875549,41.74990047
1399/01/17,1.06410969,2.3371622,26.04608078
1399/01/18,1.60481643,4.77344997,37.21508737
1399/01/19,1.50017074,2.70926006,33.61142686
1399/01/20,1.48492355,1.41398949,22.83365278
1399/01/21,1.06165261,1.83477936,17.84770028
1399/01/22,1.87082322,2.51513257,25.84698848
1399/01/23,1.90988053,2.38331391,30.04783204
1399/01/24,1.82417003,2.20035585,37.65590218
1399/01/25,1.30326246,2.56798228,27.44998033
1399/01/26,1.28498693,2.78843616,37.60912091
1399/01/27,1.16860073,3.89738425,39.89606129
1399/01/28,1.36739598,3.12695192,43.82166618
1399/01/29,1.03175198,3.20222572,34.82113728
1399/01/30,1.5606272,3.28503413,27.07267718
1399/01/31,1.41978152,2.59173129,41.41330434
1399/02/01,1.71946779,2.64336349,46.71119608
1399/02/02,1.29760316,2.82881037,47.9381467
1399/02/03,1.37814004,2.59448503,47.33641291
1399/02/04,1.39332396,3.1059622,54.63871557
1399/02/05,1.15591376,2.9074283,47.19216883
1399/02/06,1.53433431,3.64955651,104.00286814
1399/02/07,1.42124299,2.72466121,55.50936179
1399/02/08,1.01636786,2.66738486,56.37929512
1399/02/09,1.28239555,2.55729512,26.13611023
1399/02/10,1.33836605,2.72397264,34.55877951
1399/02/11,1.05614371,2.90463072,34.96752636
1399/02/12,1.82577754,2.61842791,28.74969611
1399/02/13,0.8923654,2.84459002,36.71060234
1399/02/14,1.19879674,2.9621724,35.79779089
1399/02/15,1.08700855,3.13687245,36.76658168
1399/02/16,1.39689107,2.92216882,74.69937071
1399/02/17,1.49828827,2.25441471,134.26307173
1399/02/18,0.67390478,2.25590361,67.22274194
1399/02/19,0.9345382,2.8334694,25.65979786
1399/02/20,1.67401243,3.31483904,45.99040139
1399/02/21,1.03177269,2.71317359,59.65140325
1399/02/22,0.80357336,2.44240079,123.56755096
1399/02/23,0.94376524,2.5020236,39.02302343
1399/02/24,1.20728267,2.9084539,29.82893488
1399/02/25,1.23896471,4.70050328,41.85089687
1399/02/26,0.95236184,4.65235723,42.31630033
1399/02/27,1.40907095,3.57309943,55.66980363
1399/02/28,1.44812228,3.7285703,63.6699228
1399/02/29,1.22022056,3.51786716,84.99288872
1399/02/30,1.11780844,4.52051258,92.25603888
1399/02/31,1.14441322,2.55133722,31.3929811
