date,co,so2,pm10
1399/01/01,1.43149297,4.11264634,35.15462964
1399/01/02,1.30250776,4.18720686,32.19613527
1399/01/03,0.94223394,4.68980456,32.55379148
1399/01/04,1.03527279,3.39367328,12.65416666
1399/01/05,1.44711694,4.31662171,20.77424085
1399/01/06,1.24057388,5.48741299,38.82114458
1399/01/07,0.90683075,3.35539687,25.24527588
1399/01/08,1.03054509,3.37022414,30.4146542
1399/01/09,1.5553589,4.16875354,39.17619622
1399/01/10,1.17158462,3.9288709,27.38036437
1399/01/11,1.27557219,4.22217413,31.68681664
1399/01/12,0.63354715,2.76621773,16.40864294
1399/01/13,1.01029251,3.52562359,24.45673584
1399/01/14,1.16511076,3.16065148,54.07271938
1399/01/15,1.96038674,3.65589129,65.0112319
1399/01/16,1.5174406,3.82588242,43.61628908
1399/01/17,0.94231658,2.97053611,34.38312895
1399/01/18,1.38622396,5.88511965,43.27578857
1399/01/19,1.6347594600000002,4.39137959,39.8628803
1399/01/20,1.43050627,3.67370787,25.37458592
1399/01/21,0.98084908,3.22665188,19.88013839
1399/01/22,1.41467945,3.41333789,22.29546486
1399/01/23,1.56376356,4.34073574,35.49333332
1399/01/24,2.01801424,4.44364181,35.24109346
1399/01/25,1.05484424,3.08211268,30.68183762
1399/01/26,1.17966519,3.94097399,41.11349761
1399/01/27,1.25953299,5.20084624,44.12028768
1399/01/28,1.97522052,4.74478755,50.71610035
1399/01/29,1.65798265,3.86550844,41.10004734
1399/01/30,2.31551162,5.7164762,35.7048913
1399/01/31,1.99315012,5.02301446,46.7388436
1399/02/01,2.10727779,5.23238384,53.21767941
1399/02/02,1.59083067,3.93416983,53.02248885
1399/02/03,2.05829636,5.17739395,61.92587011
1399/02/04,1.50549678,4.51583614,81.01478179
1399/02/05,1.18348064,4.95742144,56.43896105
1399/02/06,2.60491537,7.64209382,110.14325396
1399/02/07,1.57528363,3.79631223,55.19464285
1399/02/08,1.127299,3.53634071,51.79875992
1399/02/09,1.35703706,4.45013686,27.83418367
1399/02/10,1.37314196,3.45251623,45.69301242
1399/02/11,1.04472193,3.38455865,31.66428571
1399/02/12,1.75949133,4.27409851,36.82572463
1399/02/13,2.14154169,5.4485111,54.28100199
1399/02/14,1.13047868,2.93940282,53.73363098
1399/02/15,2.31787729,6.06977161,57.54136904
1399/02/16,2.31223217,6.07239774,93.03636359
1399/02/17,1.47818959,3.26514733,155.3975734
1399/02/18,0.60503016,3.14658498,67.44166666
1399/02/19,0.81692416,3.2164143,35.04424602
1399/02/20,1.74132648,5.51848279,56.83050379
1399/02/21,1.16095154,4.03728868,73.06984255
1399/02/22,0.87989129,3.29228125,141.67326397
1399/02/23,1.13899046,3.82217127,72.02808368
1399/02/24,1.53394119,4.89151181,48.41025544
1399/02/25,1.37777343,5.29028012,55.66484789
1399/02/26,1.07449142,5.66204569,44.8337219
1399/02/27,1.558385,4.86813775,67.08581351
1399/02/28,2.31974065,6.69894527,83.28703705
1399/02/29,1.56621091,5.23915264,108.21949408
1399/02/30,1.93545577,6.21429006,102.55352685
1399/02/31,1.5645449299999998,2.79888207,28.10648148
1399/03/01,1.89896928,5.40707944,85.58973081
