date,co,so2,pm10
1399/01/01,1.43276219,3.1009772,25.75494277
1399/01/02,1.13411227,2.99140439,26.33917396
1399/01/03,0.72062284,3.32560066,26.23103545
1399/01/04,0.78451559,2.82834254,12.63661606
1399/01/05,1.107031,3.67345639,18.6290673
1399/01/06,0.72220564,3.78333738,34.66262197
1399/01/07,0.62730081,3.2063785,22.79325088
1399/01/08,0.69703829,3.60280926,22.77136011
1399/01/09,0.90532226,3.8736595,32.89280621
1399/01/10,0.67163014,3.48585716,20.76434756
1399/01/11,1.07502014,2.63515111,23.00268255
1399/01/12,0.52032143,2.74407224,9.88640382
1399/01/13,0.73878408,3.19500957,21.14490794
1399/01/14,0.93371697,3.19791692,36.02988583
1399/01/15,1.86423443,3.79059149,53.03457558
1399/01/16,1.41981788,3.30539095,33.47896515
1399/01/17,0.83466301,3.42553918,21.98040738
1399/01/18,1.45479204,3.69491499,35.28920843
1399/01/19,1.69637309,2.4323521,35.93125113
1399/01/20,1.44530648,2.61705629,20.82809539
1399/01/21,0.90633469,2.61154732,13.06941968
1399/01/22,1.45611443,2.96281672,13.26280835
1399/01/23,1.69221646,2.76727649,17.63321235
1399/01/24,1.80219556,2.1518056,17.05402215
1399/01/25,1.30214577,3.67160786,24.15638274
1399/01/26,1.21674875,3.44589112,36.14018767
1399/01/27,1.46263949,3.28004885,43.25195426
1399/01/28,1.91122863,3.28824823,48.83717445
1399/01/29,1.78435822,3.42221838,33.41862243
1399/01/30,1.80987261,3.11935119,25.2570144
1399/01/31,1.97729308,2.76655031,33.70845893
1399/02/01,2.20075111,3.45123306,38.79835759
1399/02/02,2.45168775,2.47496021,27.39144656
1399/02/03,4.72524053,3.0388108,41.0164218
1399/02/04,1.49657767,3.60602822,58.47403631
1399/02/05,1.59441182,3.47081946,26.6789763
1399/02/06,3.69559123,3.06246436,48.57375772
1399/02/07,1.5816083600000002,3.16622979,28.51046216
1399/02/08,1.47210345,3.33797816,26.17975249
1399/02/09,1.29501948,2.45268,25.33443197
1399/02/10,1.34673184,3.1116348,29.8335111
1399/02/11,1.1070697,2.23219628,23.20436289
1399/02/12,1.54130168,3.27439796,23.28079319
1399/02/13,1.82292927,3.630947,36.846744
1399/02/14,1.14766875,2.73444648,28.24545603
1399/02/15,1.65934359,2.31381296,37.44715321
1399/02/16,2.10524214,2.93347337,64.85910652
1399/02/17,1.6926986899999998,2.92871911,101.23668565
1399/02/18,0.68294789,2.91230935,59.64458487
1399/02/19,0.7731168,3.1068994,22.68064118
1399/02/20,2.05512472,2.7162451,41.98893464
1399/02/21,1.07887941,2.70249138,47.23852802
1399/02/22,1.12127582,3.02304849,100.23864453
1399/02/23,1.006182,2.68310783,41.60259948
1399/02/24,1.30855726,2.68258659,29.19169034
1399/02/25,1.43293778,3.22172961,42.93232736
1399/02/26,0.91148428,2.77669778,34.10858512
1399/02/27,1.4634674,2.56324775,46.42163783
1399/02/28,1.78573461,2.9583079100000003,58.93253904
1399/02/29,1.0384062,3.11600288,68.56579877
1399/02/30,1.44030271,3.98434154,82.46586277
1399/02/31,1.22178856,2.43510775,26.45083342
1399/03/01,1.60798625,3.35944293,62.82937273
1399/03/02,2.4745903,3.45922571,89.22242042
1399/03/03,1.75146981,2.32826419,48.2786284
1399/03/04,1.49986431,3.35247535,56.25489368
1399/03/05,1.00544611,2.93756968,42.47861842
1399/03/06,1.38657434,2.99325483,67.2124662
1399/03/07,1.311534,2.58352082,60.30723622
1399/03/08,1.20174677,3.25036211,45.22491222
1399/03/09,1.2990272,2.77957029,40.19087199
1399/03/10,1.9590897,2.7023669,50.46133538
1399/03/11,1.93420548,3.42147271,55.50363097
1399/03/12,2.17282112,2.94374426,46.58811082
1399/03/13,2.2503591,3.65212404,67.33448053
1399/03/14,1.50173531,2.5495531,73.7096806
1399/03/15,0.91370849,3.11480795,39.63391158
1399/03/16,1.56135822,2.68526306,43.00565359
1399/03/17,1.8939361,3.87230892,48.38467592
1399/03/18,1.12281082,2.74985987,56.17252421
1399/03/19,1.16136273,4.09156514,78.31915917
1399/03/20,1.5819788,2.70110401,58.87600393
1399/03/21,1.41746683,2.03740389,50.00959769
1399/03/22,1.30678349,5.20490103,42.89679297
1399/03/23,1.61573835,2.58745026,46.7253645
1399/03/24,2.56154052,4.18209518,56.77153673
1399/03/25,1.69533979,5.12369704,57.5336973
1399/03/26,1.82849779,3.73389627,67.43295618
1399/03/27,1.58395406,3.31948472,63.37371255
1399/03/28,1.41149291,3.81206589,57.06655951
1399/03/29,1.24526455,3.48962525,63.87096726
1399/03/30,2.10548989,4.3101221800000005,57.98577348
1399/03/31,2.29143185,4.89592791,64.84145304
1399/04/01,0.96699457,4.21713983,70.71576297
1399/04/02,1.08698934,2.84664469,57.00356037
1399/04/03,1.06470084,3.42943446,54.57627675
1399/04/04,1.85570709,5.70646962,68.81604143
1399/04/05,2.07014378,3.75824693,57.52785699
1399/04/06,2.10176564,4.22421404,81.7232928
1399/04/07,1.1797555,3.86449749,82.45793426
1399/04/08,1.0707245,4.47078269,74.28278988
1399/04/09,1.6712518200000002,3.28923146,88.9840427
1399/04/10,1.29494468,7.08873396,73.16837641
1399/04/11,1.53698744,4.58465888,71.42744349
1399/04/12,1.30283823,3.96204717,82.55534974
1399/04/13,1.60204233,2.49935076,117.45387231
1399/04/14,1.45521585,4.56651009,86.10187936
1399/04/15,0.98488498,5.50957929,92.90596183
1399/04/16,0.97396105,4.07278171,52.32443931
1399/04/17,1.37814304,3.33941347,59.42084259
1399/04/18,1.46325268,4.73950479,49.51540873
1399/04/19,1.49635598,2.94607396,50.2028883
1399/04/20,1.10225007,3.36600911,51.59585714
1399/04/21,1.36320759,4.53829101,54.19164171
1399/04/22,0.99569087,4.66598738,47.95059896
1399/04/23,0.89615735,2.93520139,40.86587711
1399/04/24,0.93876911,2.40548987,53.83642264
1399/04/25,1.19761088,3.62920638,41.32601489
1399/04/26,1.19635613,4.09243026,44.46866084
1399/04/27,0.93392125,5.02765443,36.83628369
1399/04/28,1.84487517,4.51486244,49.09623705
1399/04/29,1.8445468,4.41294808,44.48503353
1399/04/30,1.66010545,4.87068049,52.70182524
1399/04/31,1.64134691,4.68224411,47.04726875
1399/05/01,2.19130385,3.85221291,43.78776038
1399/05/02,2.31950667,4.42614307,47.81153635
1399/05/03,1.13193342,3.97177973,55.26214475
1399/05/04,1.02800935,2.78358876,45.95116346
1399/05/05,1.65144387,3.55119256,50.79599831
1399/05/06,2.41293625,2.53833958,49.82868293
1399/05/07,2.02616002,3.07734372,48.11754616
1399/05/08,2.08791317,3.56625479,47.14812459
1399/05/09,1.68788098,3.71833522,63.0046942
1399/05/10,0.96194923,3.60688485,58.007752
1399/05/11,0.876794,2.54604773,35.62127885
1399/05/12,1.61403807,3.01837984,49.77747274
1399/05/13,2.24087553,4.05252841,59.15188977
1399/05/14,1.35635458,3.9940279,53.45056675
1399/05/15,1.10023769,2.83053505,58.16223526
1399/05/16,1.59179078,4.53050981,74.55428939
1399/05/17,1.10607568,2.85099649,56.02825599
1399/05/18,1.11945542,4.08733257,51.33113819
1399/05/19,1.23925341,4.89014279,46.81109619
1399/05/20,2.25284763,4.0676955,58.46655793
1399/05/21,2.41785827,4.75405881,66.20397597
1399/05/22,2.56393325,4.41423222,65.91216866
1399/05/23,2.99789769,4.09200069,77.5894023
1399/05/24,2.23426464,3.19597296,67.69798835
1399/05/25,2.94475734,3.76758754,85.33813761
1399/05/26,1.53434898,3.88852514,85.69359714
1399/05/27,1.9234728,4.33586724,85.06425313
1399/05/28,1.14188128,5.61588577,64.19368566
1399/05/29,1.71164063,4.22743742,61.4316338
1399/05/30,2.38918929,7.02541975,62.31294696
1399/05/31,2.10169792,5.08569656,58.88166718
1399/06/01,2.23042257,5.17757413,56.86224336
1399/06/02,2.29575551,4.28903068,66.78695005
1399/06/03,1.34527089,4.37243952,93.53089548
1399/06/04,1.31577265,4.97782251,68.64072986
1399/06/05,1.29640658,10.51392041,52.06542754
1399/06/06,1.27831267,8.08707279,40.79737837
1399/06/07,1.63504876,7.52136142,43.99874394
1399/06/08,1.97100483,10.27976289,41.06615338
1399/06/09,1.44403995,14.68568231,44.3704665
1399/06/10,1.49795201,15.82662408,46.29672998
1399/06/11,1.05247611,17.75840305,42.3060994
1399/06/12,1.84826714,8.39302596,53.75788505
1399/06/13,2.28229637,6.28311835,50.44836866
1399/06/14,2.13808078,4.73936932,42.53642684
1399/06/15,2.18480029,5.19613247,41.08159646
1399/06/16,2.5707209,5.39048727,52.30870089
1399/06/17,2.7932814,4.409952,58.21847641
1399/06/18,1.86247608,4.70620856,62.54437412
1399/06/19,2.67936774,5.56096504,61.68047603
1399/06/20,2.38464463,5.64483767,79.14952893
1399/06/21,1.50156169,11.30306602,64.44588149
1399/06/22,1.76402517,4.36210731,57.47071857
1399/06/23,1.76172683,4.20030608,50.59084396
1399/06/24,1.28475615,5.15366574,49.39954109
1399/06/25,2.27840784,4.79001431,62.79857423
1399/06/26,2.11849947,6.19870579,61.4009779
1399/06/27,2.40080351,6.96797797,61.48730372
1399/06/28,2.13355659,6.00136024,49.70185757
1399/06/29,2.77090651,8.31967313,56.30697335
1399/06/30,2.45339261,4.67475277,68.56759912
1399/06/31,3.24366938,6.33120598,59.60516752
1399/07/01,1.8917999815555555,6.10927749,71.32049909
1399/07/02,2.66443999,5.67513387,70.61858209
1399/07/03,2.2823792,4.10475778,58.05459149
1399/07/04,3.12403027,3.55308084,69.52344033
1399/07/05,2.85593581,6.86905825,67.82460364
1399/07/06,1.91388933,5.6821881,63.3316151
1399/07/07,1.44862286,4.05994886,82.45303108
1399/07/08,0.88995251,4.6730175,65.7811139
1399/07/09,0.90700463,4.29629692,32.73474164
1399/07/10,2.04616602,5.9252681,53.18268334
1399/07/11,2.38454418,6.15998215,59.55233673
1399/07/12,2.21503244,5.54919767,71.64212731
1399/07/13,0.96030514,4.1023028,55.21026093
1399/07/14,0.96119951,2.75255055,32.64822514
1399/07/15,1.16365118,3.20790754,44.79771626
1399/07/16,0.73159138,3.64128079,27.97537751
